100,6807587956.500000,130391102.836496,4.254742,0.081494
150,10131090083.500000,94270889.160297,6.331931,0.058919
200,14050140879.000000,794845346.054031,8.781338,0.496778
250,17680014485.000000,631887274.905005,11.050009,0.394930
300,22376169220.500000,745530542.293993,13.985106,0.465957
350,27949900638.500000,1151218760.093145,17.468688,0.719512
400,34579332821.000000,1719891049.825834,21.612083,1.074932
450,37802772087.500000,1989987386.479977,23.626733,1.243742
500,48125162615.500000,608676761.446046,30.078227,0.380423
550,49243334110.000000,1261384356.098007,30.777084,0.788365
600,52094848435.000000,965483852.822059,32.559280,0.603427
650,53511372918.000000,1026108971.973074,33.444608,0.641318
700,58362384805.250000,1174148427.536093,36.476491,0.733843
750,68937265947.000000,3233307457.947145,43.085791,2.020817
800,70027804956.250000,1278455876.492705,43.767378,0.799035
