100,1261.793600,6951.783063,0.000001,0.000004
150,1358.081600,3877.256421,0.000001,0.000002
200,1718.118100,4897.434702,0.000001,0.000003
250,2129.932500,5720.145124,0.000001,0.000004
300,2473.306500,5809.526774,0.000002,0.000004
350,2935.795200,3400.654684,0.000002,0.000002
400,3404.454200,17231.113317,0.000002,0.000011
450,4086.037900,5121.919757,0.000003,0.000003
500,4121.478600,20294.453230,0.000003,0.000013
550,4370.973900,3444.484269,0.000003,0.000002
600,5088.908700,17878.105181,0.000003,0.000011
650,5609.148300,15792.149344,0.000004,0.000010
700,6448.172100,25863.356899,0.000004,0.000016
750,7140.528500,27763.854143,0.000004,0.000017
800,5884.655800,8453.254463,0.000004,0.000005
