100,832.495500,1901.397286,0.000001,0.000001
150,1188.570600,1606.063700,0.000001,0.000001
200,1768.371100,6972.453476,0.000001,0.000004
250,2083.431600,2756.865045,0.000001,0.000002
300,2643.771400,29759.212247,0.000002,0.000019
350,2703.560000,2260.629447,0.000002,0.000001
400,3074.212400,2587.290628,0.000002,0.000002
450,3647.114600,2286.214465,0.000002,0.000001
500,4175.780000,5428.807546,0.000003,0.000003
550,4323.552100,12915.844710,0.000003,0.000008
600,4837.557400,8926.426889,0.000003,0.000006
650,5432.132200,3741.705184,0.000003,0.000002
700,5424.399900,7600.539577,0.000003,0.000005
750,6670.549000,23893.977524,0.000004,0.000015
800,6948.545600,5012.928633,0.000004,0.000003
