100,515216.403200,231892.259966,0.000322,0.000145
150,673413.285400,127172.490264,0.000421,0.000079
200,972105.751200,360118.104475,0.000608,0.000225
250,1190515.135300,228995.761818,0.000744,0.000143
300,1384614.973600,294657.509305,0.000865,0.000184
350,1680262.711000,486104.756325,0.001050,0.000304
400,1814361.399100,334978.304808,0.001134,0.000209
450,2024944.563700,328496.951792,0.001266,0.000205
500,2393646.923400,636960.712660,0.001496,0.000398
550,2650688.531500,667218.621568,0.001657,0.000417
600,2756424.514500,474348.846521,0.001723,0.000296
650,3051754.013000,591677.304444,0.001907,0.000370
700,3238626.933600,637184.021047,0.002024,0.000398
750,3471805.985500,599060.682649,0.002170,0.000374
800,3727610.137300,632710.831089,0.002330,0.000395
