100,481147.513100,136807.674591,0.000301,0.000086
150,698273.589900,155185.853715,0.000436,0.000097
200,951498.696200,230926.605126,0.000595,0.000144
250,1188489.544100,286938.382836,0.000743,0.000179
300,1407211.309900,313818.057063,0.000880,0.000196
350,1725213.136500,506687.566282,0.001078,0.000317
400,2014115.774200,578589.259447,0.001259,0.000362
450,2137969.914200,480540.346401,0.001336,0.000300
500,2276500.549900,391255.681876,0.001423,0.000245
550,2522546.075500,464154.475405,0.001577,0.000290
600,2786253.733600,562100.727450,0.001741,0.000351
650,2974713.439500,538000.009222,0.001859,0.000336
700,3194040.938300,558670.962824,0.001996,0.000349
750,3532772.310400,655937.736289,0.002208,0.000410
800,3659809.101200,645553.661243,0.002287,0.000403
