100,500284.481300,519816.474727,0.000313,0.000325
150,726579.908800,197595.983895,0.000454,0.000123
200,1018111.717400,281791.645514,0.000636,0.000176
250,1245660.682000,266125.993774,0.000779,0.000166
300,1501013.904900,319718.759081,0.000938,0.000200
350,1735611.562600,331669.828521,0.001085,0.000207
400,2053546.502700,585455.531538,0.001283,0.000366
450,2260508.780700,540745.920068,0.001413,0.000338
500,2589717.484400,727645.288227,0.001619,0.000455
550,2860755.955500,836124.873116,0.001788,0.000523
600,3080355.394800,885438.039840,0.001925,0.000553
650,3425819.162100,958959.880857,0.002141,0.000599
700,3647651.261000,998129.171089,0.002280,0.000624
750,3914360.573400,1042523.306186,0.002446,0.000652
800,4107500.007400,1071167.420377,0.002567,0.000669
