100,673665.398300,448995.951666,0.000421,0.000281
150,967512.523700,519984.717558,0.000605,0.000325
200,1320681.473100,832685.128569,0.000825,0.000520
250,1562202.950300,895306.465681,0.000976,0.000560
300,1693157.970900,697999.446274,0.001058,0.000436
350,2710320.378900,1119380.306506,0.001694,0.000700
400,3110267.960700,1226137.668650,0.001944,0.000766
450,3297925.527200,1122822.477466,0.002061,0.000702
500,3471147.685700,1114899.201894,0.002169,0.000697
550,3912611.926100,865242.033739,0.002445,0.000541
600,4419552.295700,1042970.258066,0.002762,0.000652
650,5215767.749600,1083205.113101,0.003260,0.000677
700,4873106.886800,1172920.544527,0.003046,0.000733
750,5733176.996600,1548140.712393,0.003583,0.000968
800,5650643.150000,1195791.337968,0.003532,0.000747
